name,profileUrl,website,founderName,linkedinUrl
SpecCheck,https://www.ycombinator.com/companies/speccheck,https://www.speccheckrx.com/,Joe DeMaria,https://www.linkedin.com/in/joe-demaria-15a15943/
SpecCheck,https://www.ycombinator.com/companies/speccheck,https://www.speccheckrx.com/,Arnold Villatoro,https://www.linkedin.com/in/arnold-villatoro-85629330
Conduit,https://www.ycombinator.com/companies/conduit,http://helloconduit.com,Conrad Lilleness,https://www.linkedin.com/in/conradlilleness/
Swishjam,https://www.ycombinator.com/companies/swishjam,https://swishjam.com,Collin Schneider,https://www.linkedin.com/in/collinschneider
Swishjam,https://www.ycombinator.com/companies/swishjam,https://swishjam.com,Zachary Zimbler,https://www.linkedin.com/in/zzimbler/
Mantys,https://www.ycombinator.com/companies/mantys,https://www.mantys.io/,Kriti Arora,https://www.linkedin.com/in/kriti-arora-536111105/
Hona,https://www.ycombinator.com/companies/hona,https://hona.com,Manny Griffiths,https://www.linkedin.com/in/manny-griffiths-b5876884/
Hona,https://www.ycombinator.com/companies/hona,https://hona.com,Josh Christensen,https://www.linkedin.com/in/joshua-n-christensen/
Hona,https://www.ycombinator.com/companies/hona,https://hona.com,Matt McClellan,https://www.linkedin.com/in/matthew-mcclellan22/
Vitalize Care,https://www.ycombinator.com/companies/vitalize-care,https://vitalize.care,Veeraj Shah,https://www.linkedin.com/in/veeraj-shah-125563125/
Vitalize Care,https://www.ycombinator.com/companies/vitalize-care,https://vitalize.care,Sanketh Andhavarapu,https://www.linkedin.com/in/sanketh-andhavarapu/
Vitalize Care,https://www.ycombinator.com/companies/vitalize-care,https://vitalize.care,Nikhil D'Souza,https://linkedin.com/in/nikhiljay7/
Honeydew,https://www.ycombinator.com/companies/honeydew,https://honeydew.ai,David Krakov,https://www.linkedin.com/in/david-krakov/
Honeydew,https://www.ycombinator.com/companies/honeydew,https://honeydew.ai,Baruch Oxman,https://www.linkedin.com/in/baruchoxman/
Honeydew,https://www.ycombinator.com/companies/honeydew,https://honeydew.ai,Liron Slonimsky-Shemy,https://www.linkedin.com/in/liron-slonimsky-0aba3240/
Hadrius,https://www.ycombinator.com/companies/hadrius,https://www.hadrius.com,Thomas Stewart,https://www.linkedin.com/in/thomasjstewart/
Hadrius,https://www.ycombinator.com/companies/hadrius,https://www.hadrius.com,Allen Calderwood,https://www.linkedin.com/in/androidallen/
